gpf0,gpf1,gpf2,gpf3,gpf4,gpf5,gpf6,gpf7,gpf8,gpf9
3.674444444444444,-178.96791000000005,5.238,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
3.674444444444444,-178.96791000000005,5.238,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
3.674444444444444,-178.96791000000005,5.238,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
3.674444444444444,-178.96791000000005,5.238,1.0,-480.0,0.0,-5.748254331019927,0.2506702697867864,0.0,0.0
3.674444444444444,-178.96791000000005,5.238,1.0,-480.0,0.0,-5.748254331019927,0.2506702697867864,0.0,0.0
7.5,-135.38,0.0,7.745966692414834,-450.0,0.0,-5.8519302783305935,0.2506702697867864,0.0,0.0
7.5,-135.38,0.0,7.745966692414834,-450.0,0.0,-5.8519302783305935,0.2506702697867864,0.0,0.0
7.5,-135.38,0.0,7.745966692414834,-450.0,0.0,-5.8519302783305935,0.2506702697867864,0.0,0.0
7.5,-135.38,0.0,1.0,-500.0,0.0,-6.168476129342587,0.2506702697867864,0.0,0.0
0.19846268656716415,-57.23899999999998,0.469,16.67159398877481,-470.0,0.0,-5.227071060578384,0.2506702697867864,0.0,0.0
0.19846268656716415,-57.23899999999998,0.469,16.67159398877481,-470.0,0.0,-5.227071060578384,0.2506702697867864,0.0,0.0
0.19846268656716415,-57.23899999999998,0.469,16.67159398877481,-470.0,0.0,-5.227071060578384,0.2506702697867864,0.0,0.0
-1.0945,-25.2729,0.192,33.6199218514729,-530.0,-0.18,-5.086199538296461,1.1749945177652572,0.0,0.0
-1.0945,-25.2729,0.192,33.6199218514729,-530.0,-0.18,-5.086199538296461,1.1749945177652572,0.0,0.0
-1.0945,-25.2729,0.192,33.6199218514729,-530.0,-0.18,-5.086199538296461,1.1749945177652572,0.0,0.0
-2.0134222222222222,-41.06456639999999,0.2106,50.38168492860487,-530.0,0.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-2.0134222222222222,-41.06456639999999,0.2106,50.38168492860487,-530.0,0.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-2.0134222222222222,-41.06456639999999,0.2106,50.38168492860487,-530.0,0.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-19.928,1.0,0.0,97.98698523458266,-530.0,-1.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-19.928,1.0,0.0,97.98698523458266,-530.0,-1.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-19.928,1.0,0.0,97.98698523458266,-530.0,-1.0,-6.04022743133267,0.2506702697867864,0.0,0.0
-1.1014705882352942,-83.67353000000001,0.8075,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
-1.1014705882352942,-83.67353000000001,0.8075,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
-1.1014705882352942,-83.67353000000001,0.8075,1.0,-480.0,0.0,-7.074508000113523,0.2506702697867864,0.0,0.0
-1.1014705882352942,-83.67353000000001,0.8075,1.0,-480.0,0.0,-5.748254331019927,0.2506702697867864,0.0,0.0
-1.1014705882352942,-83.67353000000001,0.8075,1.0,-480.0,0.0,-5.748254331019927,0.2506702697867864,0.0,0.0
-1.5006802721088437,-75.01258499999999,0.49979999999999997,52.440293632486735,-550.0,-0.09969411764705882,-4.063185414739908,1.4168366929629614,0.3534118843049395,5.44914025628262
-1.5006802721088437,-75.01258499999999,0.49979999999999997,52.440398990344015,-550.0,-0.09969411764705882,-4.063185414739908,1.4168366929629614,0.3534118843049395,5.44914025628262
-1.5006802721088437,-75.01258499999999,0.49979999999999997,52.44045294907101,-550.0,-0.09969411764705882,-4.063185414739908,1.4168366929629614,0.3534118843049395,5.44914025628262
